Ticket ID,Status,Priority,Assignee,Description,Category,Subcategory,Resolution,Comments,Created Date,Due Date,Resolved Date,Updated Date,Internal Status,External Status,Department,Location,Equipment,Vendor,Cost,Notes,Additional Info,Related Tickets,Parent Ticket,Child Tickets,Escalation Level,Severity,Impact,Urgency,Workaround,Root Cause,Resolution Steps,Testing Notes,Deployment Notes,Post-Resolution Review,Lessons Learned,Follow-up Required,Next Review Date,Archive Date,Retention Period,Compliance Notes
INC001,In Progress,High,John Doe,Network connectivity issue,IT Infrastructure,Network,Open,Initial investigation started,2024-01-15,2024-01-20,,2024-01-15,In Progress,Open,IT,Data Center,Router,NetGear,500,Router needs firmware update,Network segment affected,INC002,,,1,Medium,High,High,Use backup connection,Outdated firmware,Update firmware and test,Tested successfully,Deployed to production,Issue resolved,Document firmware update process,Yes,2024-02-15,,,Compliance review required
RIT001,Closed Complete,Medium,Jane Smith,Software installation request,Software,Installation,Closed Complete,Software installed successfully,2024-01-10,2024-01-12,2024-01-12,2024-01-12,Closed,Closed,IT,Office,Workstation,Microsoft,200,Standard software package,User training provided,RIT002,,,1,Low,Medium,Medium,N/A,User request,Install software and configure,Installation verified,Deployed to user workstation,User satisfied,Standard installation process,No,2024-01-12,,,Standard compliance
INC002,Pending,High,Bob Johnson,Server performance issue,IT Infrastructure,Server,Open,Performance monitoring in progress,2024-01-16,2024-01-22,,2024-01-16,Pending,Open,IT,Data Center,Server,Dell,1500,Server needs memory upgrade,Multiple applications affected,INC001,,,2,High,High,High,Restart services periodically,Insufficient memory,Upgrade memory and optimize,Performance testing completed,Memory upgrade scheduled,Performance improved,Document memory upgrade process,Yes,2024-02-22,,,Compliance review required
RIT002,On Hold,Low,Alice Brown,Password reset request,User Support,Authentication,Open,Waiting for user verification,2024-01-14,2024-01-16,,2024-01-14,On Hold,Open,IT,Office,Workstation,N/A,0,Standard password reset,User needs to verify identity,RIT001,,,1,Low,Low,Low,Contact IT support,User forgot password,Reset password and notify user,Password reset verified,User notified,User can access system,Standard password reset process,No,2024-01-16,,,Standard compliance
INC003,Work in Progress,Medium,Charlie Wilson,Database backup issue,IT Infrastructure,Database,Open,Backup process investigation,2024-01-17,2024-01-25,,2024-01-17,In Progress,Open,IT,Data Center,Database Server,Oracle,800,Backup automation needed,Critical data at risk,INC004,,,2,Medium,High,Medium,Manual backup process,Backup script failure,Fix backup script and test,Backup verification completed,Automated backup restored,Data protection ensured,Document backup process,Yes,2024-02-25,,,Compliance review required
RIT003,Closed Incomplete,Low,David Lee,Printer configuration request,Hardware,Printer,Closed Incomplete,Printer configured but user needs training,2024-01-11,2024-01-13,2024-01-13,2024-01-13,Closed,Closed,IT,Office,Printer,HP,300,Network printer setup,User training scheduled,RIT004,,,1,Low,Low,Low,N/A,User request,Configure printer and test,Configuration verified,Printer installed,User needs additional training,Document printer setup process,Yes,2024-01-13,,,Standard compliance
INC004,Cancelled,Low,Eve Davis,Email server maintenance,IT Infrastructure,Email,Open,Maintenance cancelled due to scheduling conflict,2024-01-18,2024-01-20,,2024-01-18,Cancelled,Open,IT,Data Center,Email Server,Microsoft,0,Maintenance rescheduled,No impact to users,INC003,,,1,Low,Low,Low,N/A,Scheduling conflict,Reschedule maintenance,Maintenance cancelled,Maintenance rescheduled,No impact,Document maintenance process,No,2024-01-20,,,Standard compliance
RIT004,Resolved,Medium,Frank Miller,Software license renewal,Software,Licensing,Resolved,License renewed successfully,2024-01-12,2024-01-15,2024-01-15,2024-01-15,Closed,Closed,IT,Office,Workstation,Microsoft,1200,Annual license renewal,License compliance maintained,RIT003,,,1,Medium,Medium,Medium,N/A,License expiration,Renew license and update records,License verification completed,License updated,Compliance maintained,Document license renewal process,No,2024-01-15,,,Compliance review required
INC005,Closed Skipped,Low,Grace Taylor,User account creation,User Support,Account Management,Closed Skipped,Account creation skipped due to duplicate request,2024-01-19,2024-01-21,2024-01-21,2024-01-21,Closed,Closed,IT,Office,Workstation,Active Directory,0,Duplicate request identified,No action needed,INC006,,,1,Low,Low,Low,N/A,Duplicate request,No action required,Request verified as duplicate,No action taken,Duplicate request handled,Document duplicate request process,No,2024-01-21,,,Standard compliance
RIT005,Closed Complete,High,Henry Adams,Server security patch,IT Infrastructure,Security,Closed Complete,Security patch applied successfully,2024-01-13,2024-01-16,2024-01-16,2024-01-16,Closed,Closed,IT,Data Center,Server,Microsoft,0,Critical security patch,Security vulnerability addressed,INC007,,,2,High,High,High,N/A,Security vulnerability,Security patch applied,Security testing completed,Patch deployed,Security improved,Document security patch process,Yes,2024-02-16,,,Compliance review required
